,question,label
40,not really?,DIRECT
2515,does anyone know if you can access amazon s foundational models especially titan or some of the large language models like anthropic s claude using sagemaker instead of bedrock service?,DIRECT
4691,does anyone have experience or opinions on working at samsung in terms of data science data analyst? it is for an intern position but i m wondering if there is some sort of general consensus about the company? i dont know much ,DIRECT
131,are you describing a tensor?,DIRECT
2334,which cmd line text editor are people using most these days?,DIRECT
5032,i think defining readability will be difficult but imo i would start comparing texts from different sources and seeing how they differ 1 very readable sources easy read books magazines news articles others? 2 hard to read sources technical books scientific articles others? then compare things like a avg max num of word in sentences b avg max word length c number of punctuation per sentence d percentage of stop words etc and maybe even go further and look at high tfidf score words between them probably a fairly simple way to find important metrics between two sources you can find ,DIRECT
3157,hey guys what s the most interesting thing you find about stable diffusion? have you tried other similar tools?,DIRECT
6374, hep why would he reduce the dimensions of the number of matches am i missing some 200iq stuff here?,DIRECT
6674,hello i have 1 year of data science python experience can i find any remote job in eu? what is the current job market of remote jobs ? 2 years ago i asked and most people said that it was too difficult if you dont have many years of experience because they wont trust a newb with a remote job i know this is probably asked a lot but i thought with corona virus lockdown and everything maybe it will be a different picture,DIRECT
1637, sorry for pinging you do you think you could share the invite to the ml server with me too? im also interested in that topic ,DIRECT
1529,may i ask what did you learn in linguistics ? in general ,DIRECT
938,does anyone have like a favorite probability course that they can recommend me? i am looking for beginner intermediate anything in that range and just wanting to relearn some theory before going back next semester,DIRECT
6345,anyone who have had formal stats analysis training do they teach prediction risk factor analysis in your classes?,DIRECT
3902,hey i have a dataset where some of the variables are numerical and are very skewed would you recommend transformation log normal or discretization? or mix of both? thanks ,DIRECT
291,its a phd?,DIRECT
5793,the one who was cursed with too much intelligence?,DIRECT
2184,why do you need to download the zip from cran?,DIRECT
6602,does someone think that open data set on data gov are a bit dry? i mean it seems unuseful to study those datasets ,DIRECT
1086,alr then what does it mean? this is the assignment in the book does it mean i should use keras tuner or something like this?,DIRECT
669,hello everyone i m a 3rd year btech student from india currently i am working on building an upselling and cross selling recommendation engine and i ve been given a step xml file as my dataset could anyone please assist me in completing this project? thank you,DIRECT
5682,hey guys anyone deployed a pytorch model on an ec2 instance using flask and had the model crash?,DIRECT
534,hi all i m shajahan and i m venturing into the world of data science on my own i ve deployed my first project banglore house price prediction codebasics now i m uncertain about what to do next could anyone help me figure out how to keep my server running continuously? right now it shuts down when i close the git bash console how can i ensure it stays online and accessible from anywhere at any time?,DIRECT
2508,why dont you? did you not do an internship?,DIRECT
421,im sorry but you have any idea what does 100 compute units mean? im looking at it but im not sure how much computation is that,DIRECT
4250,not sure if this is the right channel for it but has anyone here that works as a ds mle had to be on call for their production models? if so how are you finding it how did you find it?,DIRECT
4181,or do you mean your sql skills?,DIRECT
6036,most phd students do a semblance of ds at some point what do you wanna ask? im nearly finished a phd in neurosci ,DIRECT
1766,anyone setup a virtual home lab for themselves? i m looking for solutions particularly a vm that i could potentially access remotely ,DIRECT
1359,what domain is that?,DIRECT
4507,this entirely depends on what you re using it for long term career in tech? neither lol short term for your classes? just pick the tool that your professors use being open source is only good if you re already an expert in the tool sounds like you re just learning ,DIRECT
714,then u compare them how with like jaccard similarity?,DIRECT
1189,what data structures are you thinking? i m thinking about creating a vector containing the cosine similarity between each document and the vectorized search term then sort them and take top 5 or something then we can join on the index to get the relevant documents ,DIRECT
2692,so i was thinking i ve been working with relatively small df 30k currently simple lines in python such as df describe works well quick is this still relatively feasible when doing similar tasks on say 1million size df? what other things have people come across that don t really translate in terms of coding process you can implement on small data vs those you can t on big data?,DIRECT
4416,hi everyone i m using ptkinter text widget to show images i m attaching horizontal and vertical scrolls to the text widget so it s pretty much acting like an image viewer multiple images is there anyway to get the image where the user does right click on? could the scroll tell me the image number for example or something similar? so i d be able to get it,DIRECT
213,okay my only understanding of embeddings is it is a way to layer your own data onto an existing llm like chatgpt correct? is there some direction you could point me in in terms of using embeddings for this? name of model or something to research ,DIRECT
158,that s not really a maths thing? i thought your argument was that there are other potentially better things to learn about like advanced calculus or numerous other things ,DIRECT
6335,here talking with you?,DIRECT
3663,why do we need to mention max length for varchar value in syntax if it is dynamic in nature? lets say i m having a column of type varchar 10 if i m gonna insert a value of tom it only gonna take space gor the 3 length word not for 10 and if i insert something bigger than 10 its goin to change its space as well so why we need to explicitly mention the length?,DIRECT
1598,hi everyone could you please take a look at my beginner projects where i do a prediction of growth days of lettuce in a controlled environment? i think i am missing something i don t understand and i think my dataset also has missing features in order to predict the time it takes lettuce to grow in a controlled environment where temperature humidity tds value ph level are automated and used for predictions here is the link for my kaggle notebook if can comment what i did wrong i will gladly take it as a stepping stone to further improve my knowledge thank you in advance ,DIRECT
4973,when someone says put model into production what exactly are y alls methods for doing that? do you develop a python script that shows results in some kind of dashboad somewhere or what?,DIRECT
1011,i want to evaluate the effectiveness of a text classification algorithm in terms of how many mistakes it did anyone has experience knows where to look? i want to know on average how many mistakes it will make in an n sample,DIRECT
2090,our current ms products license does not have a sharepoint unfortunately sales rep? i think we don t have one we re a startup company so ,DIRECT
3653,hi does anyone have advices on building project using sql and data analysis and modelling for resume?,DIRECT
6129, is there an easy way to calculate distance from hospital? i guess i could do some map api? b by road you d probably want to use the google maps api but from my experience its not too bad,DIRECT
61,do you know statistics and maths?,DIRECT
3655,idk why opta data would make a difference?,DIRECT
3087,hey guys i ve been recently selected as an intern in a market intelligence team in a company i m specifically working upon sales forecasting what are the best sales forecasting models out there according to you guys which i should look into? i ve also reas about arima being the best but if there is some as strong alternatives to that?,DIRECT
5556,i m out of the loop here why? no love?,DIRECT
2414,hi there anyone completed certification in aws ml specialist or gcp ml engineer? need advice which has better career opportunities?,DIRECT
5914,does philosophy have room in science?,DIRECT
2406,do those two do give or take the same thing or are they different? and which would you recommend i look into first? i already use normal git but that doesn t really help at all for this problem will those?,DIRECT
4716,and where does the extra outside the numerator denominator come from?,DIRECT
6385,i had a nintendo ds maybe it is still laying around why do you ask?,DIRECT
5870,how does that work?,DIRECT
610,i need help with easyocr when i use it to read text from a pic i get this 5 it reads text that i need but what are and 77? is there any way how to fix this? or i need to fine tune it with text s font i need like this red one on pic?,DIRECT
3565,anyone here have a masters in statistics can tell me what the best graduate level stats classes are?,DIRECT
5611,any good examples of visualizations of financial data?,DIRECT
5869,do you have set questions metrics that you use for interviews?,DIRECT
1383,so venv and pip are good options for tools to deal with packaging but that s after i already have python installed right? what could i be using for installing and then coding python on? last time i got recommended pycharm wrote a few programs with it,DIRECT
1137, hi x approached me about moving to their company for y compensation i d really like to stay but given the cost of living increase in the past year i think i need to prioritise increasing my take home can we discuss any other ways we could go about this? ,DIRECT
1457,and has no clue what they do?,DIRECT
3789,hey guys i am planning to follow a course earlier i ve followed data camp s data science career track and liked it do you have any advice for me? i m planning to subscribe to 365 data science ,DIRECT
3746,but i could plot my plotly graphs here is that not data visualization?,DIRECT
5644,do you have regular standups etc?,DIRECT
1633,so in this scenario would it be smarter to have three categories your are trying to predict? cat dog neither? or would you expect to see the model be uncertain for images that are neither cat nor dog?,DIRECT
2881,how long it will take for me to access them?,DIRECT
2172,do you have any sort of library built out?,DIRECT
2344,hi i am new to data science and i want to passionately dive into it i have a basic roadmap that i have prepared from a lot of sources can anyone help me to improve it?,DIRECT
2865,by cleaner do you mean less likely to cause headaches?,DIRECT
4593,is there a beginners starting guide for this server?,DIRECT
238,anyone have any ideas for an algorithm that can determine if a thread of reddit comment is an argument?,DIRECT
2198,where are you working?,DIRECT
2335,does anyone know if python somehow could be run in a browser javascript? some sort of python vm runned in the browser would like to have a static page which one could do some data analysis with python without any backend calls,DIRECT
5412,i think we can t remove zeros why? because own sale was equal 0 and we must know that we couldn t sale a product in the past,DIRECT
5690,i know discussion of education programs isn t allowed here but does anyone know somewhere it is?,DIRECT
6555,why do it on the train set?,DIRECT
4862,did you mean to ask for podcasts or has data science itself taken up a voice?,DIRECT
3227,what are you trying to achieve? or rather what is your reference material? the concept of layered architecture has been deprecated after hadoop v1 note that we are currently at v3 yarn was introduced in hadoop v2 iirc ,DIRECT
4816,anyone got any resources for a really high level intuition based introduction to nlp? something that can be digested over the course of a weekend in preparation for an interview,DIRECT
1193,gonna share any?,DIRECT
6275, hello guys let s say i had 2 features text number of words and 1 label that could be either 0 or 1 how can i use these features at the same time to fit a model? i know that i can use stuff like tfidfvectorizer to make the text usable for machine learning algorithms but how would i combine that huge matrix with the number of words feature? i can t seem to find any information on how that s done all the time i either find people using only integer features or a single text feature btw i use a pandas dataframe could we append the number of words of each text as a column to the end of the tfidf matrix?,DIRECT
1105,you got a problem in your life that you want to solve? use those skill sets then don t say you don t have a problem unless your jesus ,DIRECT
6536,i ll just plop it here i guess ,DIRECT
2297,one more question as you said depends on team if its focusing on nlp lets say so are there any requirements that you need some research work in nlp or papers publish in it?,DIRECT
3859,exploratory data analysis is for the purpose of helping the analyst understand the data for example it s quite difficult to tell if a variable is normally distributed by tests it s very very simple by sight does it look like a bell curve or not you can immediately understand the distribution whether it s bimodal if it s skewed etc you can also get a quick understanding of how variables relate to each other and themselves is x correlated even loosely with y is z likely forecastable? humans are really good at telling if a variable has a frequency a seasonality a trend ,DIRECT
3625,do you think most ds s are sitting around solving integrals?,DIRECT
3128,hy is there anyone who knows deep learning better? i need to implement a multi layered classifier where weights of each layer is calculated greedily using layer wise pretraining with the help of auto encoders on stl 10 dataset and i have to train a classifier having 128 structure excluding input and output layers for classification task on the test set i dont have to use tenserflow for this problem im getting an error saying runtimeerror mat1 and mat2 shapes cannot be multiplied 32x and x in training the autoencoder for each layer the code which i written for it is ,DIRECT
1585,so my question really is do i have to keep importing every csv to db as a separate csv and on a daily bases or when i paste the new data from the extracted csv to the csv that is already imported and houses all the data does it automatically update on the db?,DIRECT
3697,does anyone know of some neat looking ways to visualize a confusion matrix? ,DIRECT
878,any ideas for a project? just so that you to understand my level i ve read hands on machine learning recently so i know the basics give or take something is not ordinary not object detection and not beginner level want to fill my github with something ,DIRECT
4626,question is it easier to use tableau compared to using matplotlib or seaborn for presentations? i m finding the graphs i can make on tableau is far better than seaborn matplotlib with both visuals and interactivity do i just suck or is it inefficient to mess with python libraries for visualization?,DIRECT
105,why wouldn t you be able to calculate counts and percentages?,DIRECT
24,hello i have a relatively large dataset that i m working with for dl using tensorflow is there a recommended way to select features in my dataset for example getting the correlation of each feature if it can help me answer a business question or how is it correlated to a specific feature that i want to use any tips how to approach this? thanks ,DIRECT
6395, you could view the total operations you re doing involving multiple tensors as a graph but im not sure why it would be helpful to look at an individual tensor as a graph perhaps im missing something?,DIRECT
6425,writing what i guess i would call a data capture app? not technically a web scraper but same idea it s gonna live on a google cloud server for a few months and hopefully collect data i can use for one or two projects ,DIRECT
1392,but at the moment this is very much can i become a racing driver if i just get the top records at a load of racing tracks around the country? i just started driving recently ,DIRECT
4846,what is the math theory that supports your equation?,DIRECT
333,you do realize working at amazon is hell right ?,DIRECT
3802,why do you think this could be?,DIRECT
1841,never use puppeteer before any tutorial i should look into?,DIRECT
1902,you are implementing a paper for an internship which org is this? lol for my role as head i had to use sklearn and implement logistic reg ,DIRECT
1909,does any specific real definition of deep learning exists in the deeplearningbook from goodfellow ? our should i just draw the most main aspects of it together and describe it with that ?,DIRECT
2778,why dont you build out something that could be helpful in the medical field you find interesting? for reference this guy built a gpt on top of medical journals this is also the same guy that started this project and blog post here it is for some inspiration ,DIRECT
4654,how long have you been looking for a job?,DIRECT
504,if i recall correctly fit would just refit the data and wipe everything out i think youre suppose to use fit generator and another issue to consider is a model checkpoint to call back the best performing model edit can you set compile false? i dont know what your model object is?,DIRECT
4108,hello everyone something intriguing occurred while i am researching on rare disease event with an hospital as we are dealing with rare events it might be obvious we are dealing with severe class imbalance problem that we are dealing by combining 1 a random undersampling technique and 2 an adaboost method with a basic random forest as the base learner i e a rusboost configuration in addition we ran this configuration using a deep forest configuration that employs layers of nn but with a base learning classifier in place of neurons although that is probably irrelevant here overall the outcomes were far superior to a baseline model from a medical standpoint therefore we decided to proceed but still as we are dealing with rare events class imbalance our results are a little weak but that is ok medically speaking for the time being we are now in the phase of plotting a bit of our results and something truly fascinating has occurred i believe our model has poor calibration since he consistently predicts a value slightly above for one class and slightly below for the other not and for exemple given a binary class prediction according to the probabilities i received it does not appear that there is a significant difference between the two classes from the algorithm standpoint presumably a calibration issue may i inquire what are your thoughts please guys? maybe the ru or deep forest or adaboost the potential issue? in addition i have included two brief screenshots one shows the proba that are like that almost for the whole dataset the second shows the distribution of my two class given their proba and it appears is for one class and for the other mostly i would have anticipated for a given record one proba class with and the other with or less than close to for sure cheers everyone for your help ,DIRECT
1939,hello can someone explain how i can solve the problem of junit 5 source location not found in eclipse?,DIRECT
2423,i read heard somewhere that most of the time as a ds you ll be doing mainly data cleaning preprocessing how accurate is that?,DIRECT
4802,why do so many arrivals have sus written on their profile?,DIRECT
4558,stupid question that sprang to mind but is there a way in ml to manually set more weighted column than others ? considering all column are binary values? that could be very stupid question but just it sprang i had to ask it ,DIRECT
822,is it a crime to ask for help?,DIRECT
1824,is there anything i can do to improve or remedy this?,DIRECT
4015,so data science is a broad house which makes it really difficult to give you a clear idea of what to do from our perspective it s like someone logging onto a car server and saying i want to become a professional driver where do i start? like limos rally gp??? what do you like about data science what makes you actually want to do it? the coding the maths the application of it the magic of language models?,DIRECT
2009,what does data analysis mean when you say it ?,DIRECT
4532,uhh do you collect nitrogen?,DIRECT
1919,do you also believe that ai will solve climate change?,DIRECT
6603,with pandas will i be able to say the column where it s the players name as row 0 is equal to that players stats? rather than give col 3 specific player,DIRECT
955,does that help?,DIRECT
2006,why are you doing this?,DIRECT
228,guys i want a roadmap for data science does anyone have one that i have worked with?,DIRECT
5583,not too sure about moocs but presumably you re familiar with testing etc after 15 years and able to read docs etc?,DIRECT
2034,currently writing my bachelor thesis and i want to explain gradient descent should i describe it at a picture like this made in matplotlib or more likely in 3d ? what do you guys think about it?,DIRECT
5388,can you do this search with a path? eg some path file txt would include all file txt files which are somewhere from some path ,DIRECT
5564,what firefox stuff?,DIRECT
1628,what type of maths does datascience need?,DIRECT
4427,where are you running this?,DIRECT
5528,hello guys im newbie here so according to rules can t i ask about course good is he or not?,DIRECT
3364,i have a question unrelated to the encoding thing say you re interested in the modelling of an output that has idk let s say n components and say for some crazy reason you want a confidence interval on your prediction if you do it with one neural network you can hope to get a confident interval 95 on your vector of n components with n neural networks that model 1 component at a time you d have n confident intervals 95 which means you d only have 95 n confidence on the whole prediction so in practice if you have 5 inputs for example you d get only 75 confidence you need to increase the confidence to 99 on each component to still reach 95 on the vector what are your feeling about this guys?,DIRECT
3065,okay do you have advice for where i can start? i ve never done anything in the field before,DIRECT
3880,uhm but for example if a variable is in for instance in a scale and other one is in a 1 scale can standard deviation be always a good approach in order to detect the columns that need to be normalized? or additional methods need to be applied?,DIRECT
4864,did it work? cause it s fun to me,DIRECT
2017,so you could say it is a proper standard to combine gridsearchcv and regularization in order to reduce overfitting? does it usually go hand in hand?,DIRECT
6301,what does a sample row in your datetime column look like?,DIRECT
2268,do people actually save their models using stuff like pickle or joblib to deploy them?,DIRECT
4600,how s it going guys? i am new,DIRECT
3206,can someone help me figure out how virtual environments work? im trying to get spacyr to work and making the python virtual environment work is crucial before loading the package,DIRECT
5755,hi anyone know a good gsea package for dna methylation? i m in r,DIRECT
5439,any tips for managing mental stress caused by python s package manager? i spent close to an hour trying to setup dependencies to read parquet files using pandas ,DIRECT
4120, py def foo bar qux bar append 0 qux qux 0 a 1 b 2 foo a b what do a and b evaluate to?,DIRECT
334,what is ivy? im not familier im from norway,DIRECT
2050,dataset a feature set a b c dataset b feature set a b c testdata set feature set a b c so i want to calculate datadrift dataset a testdata set and datadrift dataset b testdata set from what i have understood if i have to check the drift i have to compare for col in a b c data drift a col test col threshold so how to decide on this threshold ?,DIRECT
3145,and how much is the chat worth to your friend? ,DIRECT
4953,hi i have a general question about best practices in terms of presenting data analysis to end users such as business executives etc say you perform some work data cleaning visualising analysis using python whats the best way to display that and get that across to business users such that they can view the results in an intuitive manner? i had a conversation with a product manager and he said things like jupyter notebooks are great for other data scientist analysts or techie people however some executives don t really need to see the code only say 1 sent across reports dashboards analysis via email 2 perhaps even through a bi tool such as powerbi any suggestions advice on this?,DIRECT
1239,what are k and i?,DIRECT
1852,where the sheep at eden? where are the sheep,DIRECT
5053,lol why do you hate having a boss? maybe you don t like their management style? in which case maybe you can find a company with a management style that suits you,DIRECT
3470,is tech jobs within other countries the fastest way to propel into a middle class status? i think for the us it certainly is i can imagine a recent undergrad goes straight into a cushy f500 company as a software dev 80k usd salary what about other countries?,DIRECT
3840,any specific terminology for biomedical stats that are different from normal stats that aren t of course just bio terms?,DIRECT
199,thanks but what is this?,DIRECT
6564,also what do you have against fedora? i also use arch bc i hate ubuntu lol but we use ubuntu lts for work and centos for our servers i think fedora is a solid ubuntu alternative,DIRECT
3317,did you just copy and paste this? why?,DIRECT
4721,follow up questions why use spark? are the original json very large that it doesn t fit in memory? spark dataframe is a table how would you use the resulting data in downstream?,DIRECT
2094,hi guys i am having trouble with identifying the target variable for an open ended loan repayment data science project description 1 the goal is to predict the loan risk or quality loan repayment on a given applicant 2 in the dataset there are entries of existing loan applicants with a loanapproved column for approved and unapproved loans there is also a paymentstatus column with different categories classes of values successful unsuccessful cancelled etc questions 1 should the target variable be loanapproved or paymentstatus for the goal of this project? 2 if paymentstatus should be the target variable is it necessary to remove data entries with unapproved loans? or leave them in? appreciate any input ,DIRECT
2310,hi do have to do feature scaling for if there are different range variables not dummy variable in data?,DIRECT
6211,what s eta squared?,DIRECT
3518,do you think training something locally could be useful?,DIRECT
1803,hi how heavy is the math of data science ? and there is a great book i can buy to learn the math of data science especially for the ai and ml i guess readable great explanation and low to high math,DIRECT
754,what s your major?,DIRECT
6389,a question why no emotes?,DIRECT
1916,any benchmarks?,DIRECT
1600,what is this for work or school?,DIRECT
779,ok sounds good i think only the cohort will be in the office not the entire ds teams they will be quite scattered when asking does being honest and saying the reason is due to my significant other or would that not be valid?,DIRECT
3978,are there problem sets like this?,DIRECT
3850,hey folks and my soon to be favourite discord channel speaking of books can anyone recommend me a good introductory book on text mining? preferably hands on and python ? ,DIRECT
4858,can you link to some examples of the second behaviour?,DIRECT
3410, dear tscosj asking a clear and concise question is an important step in getting a helpful and accurate answer providing full context and a minimal working example can greatly improve the chances of getting a useful response when asking a question it is important to give enough information so that someone reading it has a clear understanding of the problem you are facing this includes providing details about the context in which the problem is occurring as well as any relevant information about the software or system you are using a minimal working example is a small piece of code or configuration that demonstrates the problem you are facing it should be as short as possible while still showing the issue you are experiencing by providing a minimal working example you make it easier for others to understand and reproduce the problem which can help them find a solution more quickly here are a few points to consider when asking a question to ensure that you provide enough context and a minimal working example clearly describe the problem you are facing what are you trying to accomplish? what happened instead? provide details about the context in which the problem is occurring what software or system are you using? what version? what are the relevant settings or configurations? include any error messages or other output that you have encountered these can provide valuable clues about the cause of the problem provide a minimal working example this should be a small piece of code or configuration that demonstrates the problem you are experiencing be sure to include any necessary setup or dependencies by following these guidelines you can help others understand your question and find a solution more quickly and effectively sincerely your name ,DIRECT
834,btw can you recommend any lables to watch for? i m looking for some good sources of inspiration,DIRECT
5586,just for background where are you getting this data from? it looks like either user data or google maps input,DIRECT
6225,how many personality types are there?,DIRECT
