May 15, 2024 > 18:11:28 | CRITICAL | Improper token has been passed. | {}
May 18, 2024 > 18:55:49 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:55:49 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:55:49 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:55:53 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:55:53 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:55:53 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:55:53 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:56:43 | INFO | user is not new | {}
May 18, 2024 > 18:56:43 | INFO | user is not new | {}
May 18, 2024 > 18:56:43 | INFO | user is not new | {}
May 18, 2024 > 18:56:43 | INFO | user is not new | {}
May 18, 2024 > 18:57:06 | INFO | user is not new | {}
May 18, 2024 > 18:57:06 | INFO | user is not new | {}
May 18, 2024 > 18:57:06 | INFO | user is not new | {}
May 18, 2024 > 18:57:06 | INFO | user is not new | {}
May 18, 2024 > 18:57:20 | INFO | Model loaded successfully | {}
May 18, 2024 > 18:57:20 | INFO | Model loaded successfully | {}
May 18, 2024 > 18:57:20 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:57:20 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:57:20 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:57:20 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:57:25 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:57:25 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:57:25 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:57:25 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:59:20 | INFO | Model loaded successfully | {}
May 18, 2024 > 18:59:20 | INFO | Model loaded successfully | {}
May 18, 2024 > 18:59:20 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:59:20 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:59:20 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:59:20 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 18:59:23 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:59:23 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:59:23 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:59:23 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:02:19 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:02:19 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:02:19 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:02:19 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:02:19 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:02:19 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:02:22 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:02:22 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:02:22 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:02:22 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:03:31 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:03:31 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:03:31 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:03:31 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:03:31 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:03:31 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:03:35 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:03:35 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:03:35 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:03:35 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:04:44 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:04:44 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:04:44 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:04:44 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:04:44 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:04:44 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:04:48 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:04:48 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:04:48 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:04:48 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:06:58 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:06:58 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:06:58 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:06:58 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:06:58 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:06:58 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:07:02 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:07:02 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:07:02 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:07:02 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:08:03 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:08:03 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:08:03 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:08:03 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:08:03 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:08:03 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:08:07 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:08:07 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:08:07 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:08:07 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:08:56 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:08:56 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:08:56 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:08:56 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:08:56 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:08:56 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:09:00 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:09:00 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:09:00 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:09:00 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:11:04 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:11:04 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:11:04 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:11:04 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:11:04 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:11:04 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:11:08 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:11:08 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:11:08 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:11:08 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:16:43 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:16:43 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:16:43 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:16:43 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:16:43 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:16:43 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:16:47 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:16:47 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:16:47 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:16:47 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:19:53 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:19:53 | INFO | Model loaded successfully | {}
May 18, 2024 > 19:19:53 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:19:53 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:19:53 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:19:53 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 19:19:57 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:19:57 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:19:57 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 19:19:57 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 20:18:27 | INFO | Model loaded successfully | {}
May 18, 2024 > 20:18:27 | INFO | Model loaded successfully | {}
May 18, 2024 > 20:18:27 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 20:18:27 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 20:18:27 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 20:18:27 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 20:18:31 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 20:18:31 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 20:18:31 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 20:18:31 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 20:18:52 | INFO | user is not new | {}
May 18, 2024 > 20:18:52 | INFO | user is not new | {}
May 18, 2024 > 20:18:52 | INFO | user is not new | {}
May 18, 2024 > 20:18:52 | INFO | user is not new | {}
May 18, 2024 > 20:18:58 | INFO | user is not new | {}
May 18, 2024 > 20:18:58 | INFO | user is not new | {}
May 18, 2024 > 20:18:58 | INFO | user is not new | {}
May 18, 2024 > 20:18:58 | INFO | user is not new | {}
May 18, 2024 > 20:25:55 | INFO | Model loaded successfully | {}
May 18, 2024 > 20:25:55 | INFO | Model loaded successfully | {}
May 18, 2024 > 20:25:55 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 20:25:55 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 20:25:55 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 20:25:55 | INFO | Discord token successfully retrieved. | {}
May 18, 2024 > 20:26:17 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 20:26:17 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 20:26:17 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 20:26:17 | SUCCESS | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 20:26:31 | INFO | user is not new | {}
May 18, 2024 > 20:26:31 | INFO | user is not new | {}
May 18, 2024 > 20:26:31 | INFO | user is not new | {}
May 18, 2024 > 20:26:31 | INFO | user is not new | {}
